"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","qtrly_estabs","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_chg","oty_qtrly_estabs_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","0","10","50","0","2020","4","",135331,1931745,1943477,1947237,27738838778,1684230155,21414672,1099,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",4677,3.6,-66723,-3.3,-69444,-3.4,-62768,-3.1,2074217202,8.1,112582167,7.2,843837,4.1,115,11.7
"01000","1","10","51","0","2020","4","",1250,57111,55637,56026,1335541598,0,0,1826,"",1.61,1.40,1.40,1.39,1.71,0.00,0.00,1.23,"",-11,-0.9,2818,5.2,1158,2.1,1349,2.5,148980174,12.6,0,0.0,0,0.0,151,9.0
"01000","2","10","51","0","2020","4","",1362,97602,97905,97909,1542144781,82666,2443,1213,"",1.54,1.55,1.55,1.55,1.76,0.00,0.07,1.14,"",-12,-0.9,-1978,-2.0,-1798,-1.8,-1848,-1.9,46623506,3.1,51119,162.0,1603,190.8,59,5.1
"01000","3","10","51","0","2020","4","",3724,208688,209833,210009,2556193140,8378465,71146,939,"",1.72,1.10,1.10,1.10,1.10,0.24,0.59,1.00,"",31,0.8,-7392,-3.4,-7208,-3.3,-6912,-3.2,145829690,6.1,-785907,-8.6,-13806,-16.3,83,9.7
"01000","5","10","51","0","2020","4","",128995,1568344,1580102,1583293,22304959259,1675769024,21341083,1088,"",0.98,0.96,0.96,0.96,0.94,1.03,1.00,0.98,"",4669,3.8,-60171,-3.7,-61596,-3.8,-55357,-3.4,1732783832,8.4,113316955,7.3,856040,4.2,121,12.5
"01000","8","10","96","0","2020","4","",6336,363401,363375,363944,5433879519,8461131,73589,1150,"",1.66,1.24,1.24,1.24,1.37,0.15,0.48,1.10,"",8,0.1,-6552,-1.8,-7848,-2.1,-7411,-2.0,341433370,6.7,-734788,-8.0,-12203,-14.2,94,8.9
"01001","0","10","70","0","2020","4","",936,10870,11008,10958,126028952,8393105,110957,886,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",40,4.5,-214,-1.9,-285,-2.5,-344,-3.0,9683120,8.3,398908,5.0,8482,8.3,89,11.2
"01001","1","10","71","0","2020","4","",11,92,86,85,1449696,0,0,1272,"",2.05,0.40,0.38,0.38,0.41,0.00,0.00,1.06,"",0,0.0,16,21.1,7,8.9,4,4.9,185667,14.7,0,0.0,0,0.0,36,2.9
"01001","2","10","71","0","2020","4","",19,562,563,563,8035294,0,0,1099,"",3.10,1.58,1.57,1.58,2.02,0.00,0.00,1.28,"",0,0.0,-5,-0.9,-17,-2.9,-27,-4.6,1319769,19.7,0,0.0,0,0.0,207,23.2
"01001","3","10","71","0","2020","4","",32,1876,1923,1883,20537266,984,6,834,"",2.14,1.76,1.78,1.76,1.95,0.01,0.01,1.10,"",0,0.0,-58,-3.0,2,0.1,-37,-1.9,1738217,9.2,-7061,-87.8,-41,-87.2,83,11.1
"01001","5","10","71","0","2020","4","",874,8340,8436,8427,96006696,8392121,110951,879,"",0.96,0.90,0.90,0.91,0.89,1.03,1.01,0.98,"",40,4.8,-167,-2.0,-277,-3.2,-284,-3.3,6439467,7.2,405969,5.1,8523,8.3,82,10.3
"01003","0","10","70","0","2020","4","",6895,72834,73685,74124,840908378,70794835,808992,880,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",373,5.7,-3382,-4.4,-2259,-3.0,-1395,-1.8,68437133,8.9,6591785,10.3,44315,5.8,97,12.4
"01003","1","10","71","0","2020","4","",34,446,387,407,6850531,0,0,1275,"",0.86,0.29,0.26,0.27,0.29,0.00,0.00,1.07,"",-1,-2.9,88,24.6,38,10.9,59,17.0,1024356,17.6,0,0.0,0,0.0,1,0.1
"01003","2","10","71","0","2020","4","",35,1160,1155,1113,13715544,0,0,923,"",0.77,0.49,0.48,0.46,0.52,0.00,0.00,1.08,"",-3,-7.9,-64,-5.2,-66,-5.4,-93,-7.7,17729,0.1,0,0.0,0,0.0,57,6.6
"01003","3","10","71","0","2020","4","",90,8551,8674,8716,107098230,319761,2149,953,"",0.82,1.20,1.20,1.20,1.52,0.22,0.47,1.27,"",1,1.1,75,0.9,133,1.6,163,1.9,13674109,14.6,-25398,-7.4,-413,-16.1,110,13.0
"01003","5","10","71","0","2020","4","",6736,62677,63469,63888,713244073,70475074,806843,866,"",1.01,1.01,1.01,1.01,0.99,1.03,1.00,0.97,"",376,5.9,-3481,-5.3,-2364,-3.6,-1524,-2.3,53720939,8.1,6617183,10.4,44728,5.9,95,12.3
"01005","0","10","70","0","2020","4","",572,7753,7809,7818,90211102,7146932,111817,890,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",7,1.2,-608,-7.3,-626,-7.4,-645,-7.6,8626302,10.6,636915,9.8,15785,16.4,145,19.5
"01005","1","10","71","0","2020","4","",9,80,52,55,936794,0,0,1156,"",2.74,0.49,0.32,0.34,0.37,0.00,0.00,0.96,"",0,0.0,25,45.5,-3,-5.5,1,1.9,93031,11.0,0,0.0,0,0.0,-31,-2.6
"01005","2","10","71","0","2020","4","",18,597,592,601,8560926,0,0,1104,"",4.80,2.36,2.33,2.37,3.01,0.00,0.00,1.28,"",0,0.0,-33,-5.2,-30,-4.8,-30,-4.8,633870,8.0,0,0.0,0,0.0,133,13.7
"01005","3","10","71","0","2020","4","",31,944,955,959,9621441,82050,1244,777,"",3.39,1.24,1.25,1.26,1.27,0.56,1.97,1.02,"",0,0.0,-31,-3.2,-26,-2.7,-17,-1.7,678315,7.6,-9342,-10.2,-687,-35.6,73,10.4
"01005","5","10","71","0","2020","4","",514,6132,6210,6203,71091941,7064882,110573,885,"",0.92,0.93,0.94,0.93,0.92,1.02,1.00,0.98,"",7,1.4,-569,-8.5,-567,-8.4,-599,-8.8,7221086,11.3,646257,10.1,16472,17.5,158,21.7
"01007","0","10","70","0","2020","4","",376,4669,4687,4716,59155593,3724550,51342,970,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",5,1.3,5,0.1,11,0.2,-154,-3.2,3574445,6.4,162170,4.6,-16919,-24.8,67,7.4
"01007","1","10","71","0","2020","4","",10,64,61,61,1185721,0,0,1471,"",4.64,0.65,0.64,0.63,0.71,0.00,0.00,1.12,"",0,0.0,-3,-4.5,-5,-7.6,-5,-7.6,56613,5.0,0,0.0,0,0.0,162,12.4
"01007","2","10","71","0","2020","4","",13,249,244,238,4300866,0,0,1358,"",5.27,1.63,1.60,1.55,2.30,0.00,0.00,1.44,"",0,0.0,6,2.5,-2,-0.8,-7,-2.9,194856,4.7,0,0.0,0,0.0,67,5.2
"01007","3","10","71","0","2020","4","",31,967,982,979,9494643,45750,270,748,"",5.15,2.11,2.13,2.12,1.92,0.60,0.93,0.90,"",0,0.0,-36,-3.6,-26,-2.6,-31,-3.1,1028559,12.1,-2561,-5.3,-16,-5.6,101,15.6
"01007","5","10","71","0","2020","4","",322,3389,3400,3438,44174363,3678800,51072,997,"",0.88,0.86,0.85,0.86,0.87,1.02,1.00,1.02,"",5,1.6,38,1.1,44,1.3,-111,-3.1,2294417,5.5,164731,4.7,-16903,-24.9,55,5.8
"01009","0","10","70","0","2020","4","",829,8369,8410,8416,88165453,5990398,67799,808,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",38,4.8,-293,-3.4,-290,-3.3,-273,-3.1,5790168,7.0,523379,9.6,5134,8.2,78,10.7
"01009","1","10","71","0","2020","4","",10,98,83,86,1306047,0,0,1129,"",2.10,0.55,0.48,0.50,0.53,0.00,0.00,1.03,"",0,0.0,16,19.5,2,2.5,5,6.2,107395,9.0,0,0.0,0,0.0,-5,-0.4
"01009","2","10","71","0","2020","4","",11,162,161,164,1960105,0,0,929,"",2.02,0.59,0.59,0.60,0.70,0.00,0.00,1.19,"",0,0.0,-2,-1.2,-3,-1.8,0,0.0,109081,5.9,0,0.0,0,0.0,61,7.0
"01009","3","10","71","0","2020","4","",44,1789,1808,1796,17937983,84596,633,768,"",3.32,2.18,2.19,2.18,2.43,0.69,1.65,1.11,"",0,0.0,-65,-3.5,-56,-3.0,-66,-3.5,1286370,7.7,40672,92.6,200,46.2,79,11.5
